title,description,
"Merger of Cruise Bank and Radial Bank declared! Increase in 
profits seem exceedingly high.",A rumour has come out that Cruise Bank and Radial bank are merging. It is unknown what�s to happen but it is a great news for shareholders and users to see two biggest finance giants in India coming together.,
Wipro and INTech are talking about a possible merger.,Two of the most upcoming Technology Companies are talking about possibly joining forces. Will this be a good move? Or will it turn out to be the downfall of both?,
"Nine of top-10 firms lose ?88,609 crore in Market Capitalization, Prudent National Bank, TCS top losers","Reliance Industries was the lone gainer among the top-10 frontline companies, adding Rs.11425.21 crore to its m-cap for the week ended Friday.",
"Westfield Asset Management completes Port expansion in Dubai, United Arab Emirates.","The main scope of Wam�s work on the project included dredging work and the construction of a 720m-long quay wall, as well as stripping an existing breakwater.  The combined project value was approximately �75 million.",
 Dreams Realty�s Project � Empire City � Could Be Heading For Bankruptcy.,"Empire City is a typical example of a large-scale infrastructure project gone bad, saddling its bankers with unpaid dues that are helping drive record losses at many Indian lenders. Empire City defaulted on dues payable to bondholders and has delayed repayment to other creditors including banks.",
Nitro Automobiles to launch electric vehicle by end of 2019.,Nitro Automobiles will launch electric vehicle (EVs) over the next 12 to 18 months. The announcement was made by Nitro Automobiles Chairman  during an interaction with the shareholders at the 74th Annual General Meeting. ,
Bottas might withdraw his Toro Rosso shares.,"Toro Rosso's CEO, Mattia Binotto, says Finnish investor Valtteri Bottas is very certain to withdraw his shares from the company, as Binotto says it might affect them.",
"Emerald Ltd. launches new project in Bangkok,  thus expanding footprint in Asia.","Real estate giant Emerald Properties has announced its advent into the diverse market of South East asia, thus establishing it's foothold as one of the leading companies in the sector and expanding it's consumer base.",
"3 ports operated by Meridian Ltd. hit by storm, massive loss of ships and dock infrastructure to the company.","3 ports in Tamil Nadu region have been severely struck by the ongoing Fushima storm. According to several reports, 2 ships have collapsed and about 80 people have been injured by it.",
Shares of BioLife Pharma Science Ltd dropped as much as 3 per cent to Rs 442 on the BSE.,"The stock touched a high of Rs 464.70 and a low of Rs 442 against the previous close of Rs 455.30. The shares sank over 10 per cent on Monday after a report of a regulatory probe against the company. The company had said late on Monday it had not been informed of reopening of any old insider trading case. It added that its tax rate is now in mid-teens.
",
